Arithmetic,What is 15 + 27?,42
Arithmetic,What is 56 - 23?,33
Arithmetic,What is 8 × 7?,56
Arithmetic,What is 72 ÷ 9?,8
Arithmetic,What is 100 - 45?,55
Algebra,If x + 7 = 15 what is x?,8
Algebra,If 2x = 18 what is x?,9
Algebra,If x - 5 = 10 what is x?,15
Algebra,If 3x + 2 = 14 what is x?,4
Algebra,If x ÷ 4 = 5 what is x?,20
Number Theory,Is 17 a prime number? (yes/no),yes
Number Theory,What is the GCD of 12 and 18?,6
Number Theory,Is 15 divisible by 3? (yes/no),yes
Number Theory,Is 21 a prime number? (yes/no),no
Number Theory,What is the GCD of 8 and 12?,4
